id,text,rarity,price,category,pool,icon_path,effect,value,requires_weapon,requires_ability,enabled
primary_reload_speed_t4,Primary Reload Speed IV,epic,275,primary,shop,res://assets/icons/primary_reload.png,primary_reload_speed,0.4,,,TRUE
shotgun_pellets_t1,Shotgun Pellets +1,common,55,shotgun,shop,res://assets/icons/shotgun_pellets.png,shotgun_pellets,1,,,TRUE
shotgun_pellets_t2,Shotgun Pellets +2,uncommon,120,shotgun,shop,res://assets/icons/shotgun_pellets.png,shotgun_pellets,2,,,TRUE
shotgun_pellets_t3,Shotgun Pellets +3,rare,210,shotgun,shop,res://assets/icons/shotgun_pellets.png,shotgun_pellets,3,,,TRUE
shotgun_pellets_t4,Shotgun Pellets +4,epic,325,shotgun,shop,res://assets/icons/shotgun_pellets.png,shotgun_pellets,4,,,TRUE
shotgun_spread_t1,Shotgun Spread -5%,common,45,shotgun,shop,res://assets/icons/shotgun_spread.png,shotgun_spread,-0.05,,,TRUE
shotgun_spread_t2,Shotgun Spread -10%,uncommon,110,shotgun,shop,res://assets/icons/shotgun_spread.png,shotgun_spread,-0.1,,,TRUE
shotgun_spread_t3,Shotgun Spread -15%,rare,190,shotgun,shop,res://assets/icons/shotgun_spread.png,shotgun_spread,-0.15,,,TRUE
shotgun_spread_t4,Shotgun Spread -25%,epic,300,shotgun,shop,res://assets/icons/shotgun_spread.png,shotgun_spread,-0.25,,,TRUE
sniper_damage_t1,Sniper Damage I,common,60,sniper,shop,res://assets/icons/sniper_damage.png,sniper_damage,0.1,,,TRUE
sniper_damage_t2,Sniper Damage II,uncommon,135,sniper,shop,res://assets/icons/sniper_damage.png,sniper_damage,0.2,,,TRUE
sniper_damage_t3,Sniper Damage III,rare,225,sniper,shop,res://assets/icons/sniper_damage.png,sniper_damage,0.35,,,TRUE
sniper_damage_t4,Sniper Damage IV,epic,360,sniper,shop,res://assets/icons/sniper_damage.png,sniper_damage,0.5,,,TRUE
flamethrower_burn_damage_t1,Flamethrower Burn I,common,55,flamethrower,shop,res://assets/icons/flamethrower_burn.png,flamethrower_burn_damage,0.1,,,TRUE
flamethrower_burn_damage_t2,Flamethrower Burn II,uncommon,125,flamethrower,shop,res://assets/icons/flamethrower_burn.png,flamethrower_burn_damage,0.2,,,TRUE
flamethrower_burn_damage_t3,Flamethrower Burn III,rare,210,flamethrower,shop,res://assets/icons/flamethrower_burn.png,flamethrower_burn_damage,0.35,,,TRUE
flamethrower_burn_damage_t4,Flamethrower Burn IV,epic,330,flamethrower,shop,res://assets/icons/flamethrower_burn.png,flamethrower_burn_damage,0.5,,,TRUE
flamethrower_cone_size_t1,Flamethrower Cone Size I,common,50,flamethrower,shop,res://assets/icons/flamethrower_cone.png,flamethrower_cone_size,0.1,,,TRUE
flamethrower_cone_size_t2,Flamethrower Cone Size II,uncommon,115,flamethrower,shop,res://assets/icons/flamethrower_cone.png,flamethrower_cone_size,0.2,,,TRUE
flamethrower_cone_size_t3,Flamethrower Cone Size III,rare,200,flamethrower,shop,res://assets/icons/flamethrower_cone.png,flamethrower_cone_size,0.3,,,TRUE
flamethrower_cone_size_t4,Flamethrower Cone Size IV,epic,315,flamethrower,shop,res://assets/icons/flamethrower_cone.png,flamethrower_cone_size,0.45,,,TRUE
flamethrower_duration_t1,Flamethrower Duration +0.5s,common,45,flamethrower,shop,res://assets/icons/flamethrower_duration.png,flamethrower_duration,0.5,,,TRUE
flamethrower_duration_t2,Flamethrower Duration +1.0s,uncommon,110,flamethrower,shop,res://assets/icons/flamethrower_duration.png,flamethrower_duration,1,,,TRUE
flamethrower_duration_t3,Flamethrower Duration +1.5s,rare,195,flamethrower,shop,res://assets/icons/flamethrower_duration.png,flamethrower_duration,1.5,,,TRUE
flamethrower_duration_t4,Flamethrower Duration +2.5s,epic,305,flamethrower,shop,res://assets/icons/flamethrower_duration.png,flamethrower_duration,2.5,,,TRUE
flamethrower_fuel_efficiency_t1,Flamethrower Fuel Efficiency I,common,40,flamethrower,shop,res://assets/icons/flamethrower_fuel.png,flamethrower_fuel_efficiency,0.1,,,TRUE
flamethrower_fuel_efficiency_t2,Flamethrower Fuel Efficiency II,uncommon,100,flamethrower,shop,res://assets/icons/flamethrower_fuel.png,flamethrower_fuel_efficiency,0.2,,,TRUE
flamethrower_fuel_efficiency_t3,Flamethrower Fuel Efficiency III,rare,180,flamethrower,shop,res://assets/icons/flamethrower_fuel.png,flamethrower_fuel_efficiency,0.3,,,TRUE
flamethrower_fuel_efficiency_t4,Flamethrower Fuel Efficiency IV,epic,285,flamethrower,shop,res://assets/icons/flamethrower_fuel.png,flamethrower_fuel_efficiency,0.45,,,TRUE
flamethrower_tick_rate_t1,Flamethrower Tick Rate I,common,50,flamethrower,shop,res://assets/icons/flamethrower_tick.png,flamethrower_tick_rate,0.1,,,TRUE
flamethrower_tick_rate_t2,Flamethrower Tick Rate II,uncommon,120,flamethrower,shop,res://assets/icons/flamethrower_tick.png,flamethrower_tick_rate,0.2,,,TRUE
flamethrower_tick_rate_t3,Flamethrower Tick Rate III,rare,205,flamethrower,shop,res://assets/icons/flamethrower_tick.png,flamethrower_tick_rate,0.3,,,TRUE
flamethrower_tick_rate_t4,Flamethrower Tick Rate IV,epic,320,flamethrower,shop,res://assets/icons/flamethrower_tick.png,flamethrower_tick_rate,0.45,,,TRUE
grenades_radius_t1,Grenade Radius I,common,55,grenades,shop,res://assets/icons/grenades_radius.png,grenades_radius,10,,,TRUE
grenades_radius_t2,Grenade Radius II,uncommon,130,grenades,shop,res://assets/icons/grenades_radius.png,grenades_radius,20,,,TRUE
grenades_radius_t3,Grenade Radius III,rare,220,grenades,shop,res://assets/icons/grenades_radius.png,grenades_radius,35,,,TRUE
grenades_radius_t4,Grenade Radius IV,epic,350,grenades,shop,res://assets/icons/grenades_radius.png,grenades_radius,50,,,TRUE
grenades_damage_t1,Grenade Damage I,common,60,grenades,shop,res://assets/icons/grenades_damage.png,grenades_damage,0.1,,,TRUE
grenades_damage_t2,Grenade Damage II,uncommon,135,grenades,shop,res://assets/icons/grenades_damage.png,grenades_damage,0.2,,,TRUE
grenades_damage_t3,Grenade Damage III,rare,230,grenades,shop,res://assets/icons/grenades_damage.png,grenades_damage,0.35,,,TRUE
grenades_damage_t4,Grenade Damage IV,epic,365,grenades,shop,res://assets/icons/grenades_damage.png,grenades_damage,0.5,,,TRUE
grenades_cooldown_t1,Grenade Cooldown -10%,common,50,grenades,shop,res://assets/icons/grenades_cooldown.png,grenades_cooldown,-0.1,,,TRUE
grenades_cooldown_t2,Grenade Cooldown -20%,uncommon,120,grenades,shop,res://assets/icons/grenades_cooldown.png,grenades_cooldown,-0.2,,,TRUE
grenades_cooldown_t3,Grenade Cooldown -30%,rare,210,grenades,shop,res://assets/icons/grenades_cooldown.png,grenades_cooldown,-0.3,,,TRUE
grenades_cooldown_t4,Grenade Cooldown -45%,epic,335,grenades,shop,res://assets/icons/grenades_cooldown.png,grenades_cooldown,-0.45,,,TRUE
grenades_frag_count_t1,Grenade Frags +1,common,55,grenades,shop,res://assets/icons/grenades_frags.png,grenades_frag_count,1,,,TRUE
grenades_frag_count_t2,Grenade Frags +2,uncommon,125,grenades,shop,res://assets/icons/grenades_frags.png,grenades_frag_count,2,,,TRUE
grenades_frag_count_t3,Grenade Frags +3,rare,215,grenades,shop,res://assets/icons/grenades_frags.png,grenades_frag_count,3,,,TRUE
grenades_frag_count_t4,Grenade Frags +5,epic,340,grenades,shop,res://assets/icons/grenades_frags.png,grenades_frag_count,5,,,TRUE
shuriken_bounce_count_t1,Shuriken Bounces +1,common,50,shuriken,shop,res://assets/icons/shuriken_bounce.png,shuriken_bounce_count,1,,,TRUE
shuriken_bounce_count_t2,Shuriken Bounces +2,uncommon,120,shuriken,shop,res://assets/icons/shuriken_bounce.png,shuriken_bounce_count,2,,,TRUE
shuriken_bounce_count_t3,Shuriken Bounces +3,rare,205,shuriken,shop,res://assets/icons/shuriken_bounce.png,shuriken_bounce_count,3,,,TRUE
shuriken_bounce_count_t4,Shuriken Bounces +4,epic,325,shuriken,shop,res://assets/icons/shuriken_bounce.png,shuriken_bounce_count,4,,,TRUE
shuriken_speed_t1,Shuriken Speed I,common,45,shuriken,shop,res://assets/icons/shuriken_speed.png,shuriken_speed,0.1,,,TRUE
shuriken_speed_t2,Shuriken Speed II,uncommon,110,shuriken,shop,res://assets/icons/shuriken_speed.png,shuriken_speed,0.2,,,TRUE
shuriken_speed_t3,Shuriken Speed III,rare,190,shuriken,shop,res://assets/icons/shuriken_speed.png,shuriken_speed,0.3,,,TRUE
shuriken_speed_t4,Shuriken Speed IV,epic,300,shuriken,shop,res://assets/icons/shuriken_speed.png,shuriken_speed,0.45,,,TRUE
turret_fire_rate_t1,Turret Fire Rate I,common,50,turret,shop,res://assets/icons/turret_fire_rate.png,turret_fire_rate,0.1,,,TRUE
turret_fire_rate_t2,Turret Fire Rate II,uncommon,120,turret,shop,res://assets/icons/turret_fire_rate.png,turret_fire_rate,0.2,,,TRUE
turret_fire_rate_t3,Turret Fire Rate III,rare,205,turret,shop,res://assets/icons/turret_fire_rate.png,turret_fire_rate,0.3,,,TRUE
turret_fire_rate_t4,Turret Fire Rate IV,epic,320,turret,shop,res://assets/icons/turret_fire_rate.png,turret_fire_rate,0.45,,,TRUE
turret_range_t1,Turret Range I,common,45,turret,shop,res://assets/icons/turret_range.png,turret_range,0.1,,,TRUE
turret_range_t2,Turret Range II,uncommon,110,turret,shop,res://assets/icons/turret_range.png,turret_range,0.2,,,TRUE
turret_range_t3,Turret Range III,rare,190,turret,shop,res://assets/icons/turret_range.png,turret_range,0.3,,,TRUE
turret_range_t4,Turret Range IV,epic,300,turret,shop,res://assets/icons/turret_range.png,turret_range,0.45,,,TRUE
turret_bullet_speed_t1,Turret Bullet Speed I,common,45,turret,shop,res://assets/icons/turret_bullet_speed.png,turret_bullet_speed,0.1,,,TRUE
turret_bullet_speed_t2,Turret Bullet Speed II,uncommon,105,turret,shop,res://assets/icons/turret_bullet_speed.png,turret_bullet_speed,0.2,,,TRUE
turret_bullet_speed_t3,Turret Bullet Speed III,rare,185,turret,shop,res://assets/icons/turret_bullet_speed.png,turret_bullet_speed,0.3,,,TRUE
turret_bullet_speed_t4,Turret Bullet Speed IV,epic,290,turret,shop,res://assets/icons/turret_bullet_speed.png,turret_bullet_speed,0.45,,,TRUE
dash_distance_t1,Dash Distance I,common,50,dash,shop,res://assets/icons/dash_distance.png,dash_distance,0.1,,,TRUE
dash_distance_t2,Dash Distance II,uncommon,120,dash,shop,res://assets/icons/dash_distance.png,dash_distance,0.2,,,TRUE
dash_distance_t3,Dash Distance III,rare,205,dash,shop,res://assets/icons/dash_distance.png,dash_distance,0.3,,,TRUE
dash_distance_t4,Dash Distance IV,epic,320,dash,shop,res://assets/icons/dash_distance.png,dash_distance,0.45,,,TRUE
dash_cooldown_t1,Dash Cooldown -10%,common,45,dash,shop,res://assets/icons/dash_cooldown.png,dash_cooldown,-0.1,,,TRUE
dash_cooldown_t2,Dash Cooldown -20%,uncommon,110,dash,shop,res://assets/icons/dash_cooldown.png,dash_cooldown,-0.2,,,TRUE
dash_cooldown_t3,Dash Cooldown -30%,rare,190,dash,shop,res://assets/icons/dash_cooldown.png,dash_cooldown,-0.3,,,TRUE
dash_cooldown_t4,Dash Cooldown -45%,epic,300,dash,shop,res://assets/icons/dash_cooldown.png,dash_cooldown,-0.45,,,TRUE
dash_invuln_window_t1,Dash Invuln Window +0.1s,common,55,dash,shop,res://assets/icons/dash_invuln.png,dash_invuln_window,0.1,,,TRUE
dash_invuln_window_t2,Dash Invuln Window +0.2s,uncommon,130,dash,shop,res://assets/icons/dash_invuln.png,dash_invuln_window,0.2,,,TRUE
dash_invuln_window_t3,Dash Invuln Window +0.3s,rare,220,dash,shop,res://assets/icons/dash_invuln.png,dash_invuln_window,0.3,,,TRUE
dash_invuln_window_t4,Dash Invuln Window +0.5s,epic,350,dash,shop,res://assets/icons/dash_invuln.png,dash_invuln_window,0.5,,,TRUE
dash_speed_t1,Dash Speed I,common,50,dash,shop,res://assets/icons/dash_speed.png,dash_speed,0.15,,,TRUE
dash_speed_t2,Dash Speed II,uncommon,115,dash,shop,res://assets/icons/dash_speed.png,dash_speed,0.3,,,TRUE
dash_speed_t3,Dash Speed III,rare,200,dash,shop,res://assets/icons/dash_speed.png,dash_speed,0.45,,,TRUE
dash_speed_t4,Dash Speed IV,epic,315,dash,shop,res://assets/icons/dash_speed.png,dash_speed,0.65,,,TRUE
dash_charges_t1,Dash Charges +1,common,60,dash,shop,res://assets/icons/dash_charges.png,dash_charges,1,,,TRUE
dash_charges_t2,Dash Charges +2,uncommon,140,dash,shop,res://assets/icons/dash_charges.png,dash_charges,2,,,TRUE
dash_charges_t3,Dash Charges +3,rare,240,dash,shop,res://assets/icons/dash_charges.png,dash_charges,3,,,TRUE
dash_charges_t4,Dash Charges +4,epic,380,dash,shop,res://assets/icons/dash_charges.png,dash_charges,4,,,TRUE
shield_duration_t1,Shield Duration +0.5s,common,50,shield,shop,res://assets/icons/shield_duration.png,shield_duration,0.5,,,TRUE
shield_duration_t2,Shield Duration +1.0s,uncommon,120,shield,shop,res://assets/icons/shield_duration.png,shield_duration,1,,,TRUE
shield_duration_t3,Shield Duration +1.5s,rare,205,shield,shop,res://assets/icons/shield_duration.png,shield_duration,1.5,,,TRUE
shield_duration_t4,Shield Duration +2.5s,epic,325,shield,shop,res://assets/icons/shield_duration.png,shield_duration,2.5,,,TRUE
shield_cooldown_t1,Shield Cooldown -10%,common,45,shield,shop,res://assets/icons/shield_cooldown.png,shield_cooldown,-0.1,,,TRUE
shield_cooldown_t2,Shield Cooldown -20%,uncommon,110,shield,shop,res://assets/icons/shield_cooldown.png,shield_cooldown,-0.2,,,TRUE
shield_cooldown_t3,Shield Cooldown -30%,rare,190,shield,shop,res://assets/icons/shield_cooldown.png,shield_cooldown,-0.3,,,TRUE
shield_cooldown_t4,Shield Cooldown -45%,epic,300,shield,shop,res://assets/icons/shield_cooldown.png,shield_cooldown,-0.45,,,TRUE
shield_radius_t1,Shield Radius I,common,50,shield,shop,res://assets/icons/shield_radius.png,shield_radius,0.1,,,TRUE
shield_radius_t2,Shield Radius II,uncommon,115,shield,shop,res://assets/icons/shield_radius.png,shield_radius,0.2,,,TRUE
shield_radius_t3,Shield Radius III,rare,200,shield,shop,res://assets/icons/shield_radius.png,shield_radius,0.3,,,TRUE
shield_radius_t4,Shield Radius IV,epic,315,shield,shop,res://assets/icons/shield_radius.png,shield_radius,0.45,,,TRUE
slowmo_duration_t1,Slowmo Duration +0.5s,common,50,slowmo,shop,res://assets/icons/slowmo_duration.png,slowmo_duration,0.5,,,TRUE
slowmo_duration_t2,Slowmo Duration +1.0s,uncommon,120,slowmo,shop,res://assets/icons/slowmo_duration.png,slowmo_duration,1,,,TRUE
slowmo_duration_t3,Slowmo Duration +1.5s,rare,205,slowmo,shop,res://assets/icons/slowmo_duration.png,slowmo_duration,1.5,,,TRUE
slowmo_duration_t4,Slowmo Duration +2.5s,epic,325,slowmo,shop,res://assets/icons/slowmo_duration.png,slowmo_duration,2.5,,,TRUE
slowmo_cooldown_t1,Slowmo Cooldown -10%,common,45,slowmo,shop,res://assets/icons/slowmo_cooldown.png,slowmo_cooldown,-0.1,,,TRUE
slowmo_cooldown_t2,Slowmo Cooldown -20%,uncommon,110,slowmo,shop,res://assets/icons/slowmo_cooldown.png,slowmo_cooldown,-0.2,,,TRUE
slowmo_cooldown_t3,Slowmo Cooldown -30%,rare,190,slowmo,shop,res://assets/icons/slowmo_cooldown.png,slowmo_cooldown,-0.3,,,TRUE
slowmo_cooldown_t4,Slowmo Cooldown -45%,epic,300,slowmo,shop,res://assets/icons/slowmo_cooldown.png,slowmo_cooldown,-0.45,,,TRUE
slowmo_time_scale_t1,Slowmo Time Scale I,common,55,slowmo,shop,res://assets/icons/slowmo_scale.png,slowmo_time_scale,0.05,,,TRUE
slowmo_time_scale_t2,Slowmo Time Scale II,uncommon,130,slowmo,shop,res://assets/icons/slowmo_scale.png,slowmo_time_scale,0.1,,,TRUE
slowmo_time_scale_t3,Slowmo Time Scale III,rare,220,slowmo,shop,res://assets/icons/slowmo_scale.png,slowmo_time_scale,0.15,,,TRUE
slowmo_time_scale_t4,Slowmo Time Scale IV,epic,350,slowmo,shop,res://assets/icons/slowmo_scale.png,slowmo_time_scale,0.25,,,TRUE
invis_duration_t1,Invis Duration +0.5s,common,50,invis,shop,res://assets/icons/invis_duration.png,invis_duration,0.5,,,TRUE
invis_duration_t2,Invis Duration +1.0s,uncommon,120,invis,shop,res://assets/icons/invis_duration.png,invis_duration,1,,,TRUE
invis_duration_t3,Invis Duration +1.5s,rare,205,invis,shop,res://assets/icons/invis_duration.png,invis_duration,1.5,,,TRUE
invis_duration_t4,Invis Duration +2.5s,epic,325,invis,shop,res://assets/icons/invis_duration.png,invis_duration,2.5,,,TRUE
invis_cooldown_t1,Invis Cooldown -10%,common,45,invis,shop,res://assets/icons/invis_cooldown.png,invis_cooldown,-0.1,,,TRUE
invis_cooldown_t2,Invis Cooldown -20%,uncommon,110,invis,shop,res://assets/icons/invis_cooldown.png,invis_cooldown,-0.2,,,TRUE
invis_cooldown_t3,Invis Cooldown -30%,rare,190,invis,shop,res://assets/icons/invis_cooldown.png,invis_cooldown,-0.3,,,TRUE
invis_cooldown_t4,Invis Cooldown -45%,epic,300,invis,shop,res://assets/icons/invis_cooldown.png,invis_cooldown,-0.45,,,TRUE
invis_fade_speed_t1,Invis Fade Speed I,common,40,invis,shop,res://assets/icons/invis_fade.png,invis_fade_speed,0.15,,,TRUE
invis_fade_speed_t2,Invis Fade Speed II,uncommon,100,invis,shop,res://assets/icons/invis_fade.png,invis_fade_speed,0.3,,,TRUE
invis_fade_speed_t3,Invis Fade Speed III,rare,180,invis,shop,res://assets/icons/invis_fade.png,invis_fade_speed,0.45,,,TRUE
invis_fade_speed_t4,Invis Fade Speed IV,epic,285,invis,shop,res://assets/icons/invis_fade.png,invis_fade_speed,0.65,,,TRUE
invis_movement_speed_t1,Invis Movement Speed I,common,50,invis,shop,res://assets/icons/invis_movement.png,invis_movement_speed,0.1,,,TRUE
invis_movement_speed_t2,Invis Movement Speed II,uncommon,115,invis,shop,res://assets/icons/invis_movement.png,invis_movement_speed,0.2,,,TRUE
invis_movement_speed_t3,Invis Movement Speed III,rare,200,invis,shop,res://assets/icons/invis_movement.png,invis_movement_speed,0.3,,,TRUE
invis_movement_speed_t4,Invis Movement Speed IV,epic,315,invis,shop,res://assets/icons/invis_movement.png,invis_movement_speed,0.45,,,TRUE
invis_first_hit_bonus_t1,Invis First Hit Bonus I,common,55,invis,shop,res://assets/icons/invis_first_hit.png,invis_first_hit_bonus,0.25,,,TRUE
invis_first_hit_bonus_t2,Invis First Hit Bonus II,uncommon,130,invis,shop,res://assets/icons/invis_first_hit.png,invis_first_hit_bonus,0.5,,,TRUE
invis_first_hit_bonus_t3,Invis First Hit Bonus III,rare,220,invis,shop,res://assets/icons/invis_first_hit.png,invis_first_hit_bonus,0.75,,,TRUE
invis_first_hit_bonus_t4,Invis First Hit Bonus IV,epic,350,invis,shop,res://assets/icons/invis_first_hit.png,invis_first_hit_bonus,1,,,TRUE
sniper_invis_synergy,Ghost Rounds,epic,450,sniper,shop,res://assets/icons/sniper_invis_synergy.png,sniper_invis_synergy,1,sniper,invis,TRUE
shield_flamethrower_synergy,Fire Shield,epic,450,flamethrower,shop,res://assets/icons/shield_flamethrower_synergy.png,shield_flamethrower_synergy,1,flamethrower,shield,TRUE
dash_grenades_synergy,Shrapnel Dash,epic,450,grenades,shop,res://assets/icons/dash_grenades_synergy.png,dash_grenades_synergy,1,grenades,dash,TRUE
